t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787849675497,0.2282,0.8393,0.1915,0.0345,0.7200,sideEyeCat
1787849675598,0.2863,0.7885,0.2257,0.0345,0.7200,sideEyeCat
1787849675697,0.7173,0.3328,0.2387,0.0345,0.7200,sideEyeCat
1787849675798,0.6558,0.9294,0.6095,0.0345,0.7200,sideEyeCat
1787849675863,0.4269,0.8627,0.3683,0.0345,0.7200,sideEyeCat
1787849675930,0.4870,0.9224,0.4493,0.0345,0.7200,sideEyeCat
1787849675997,0.4890,0.7226,0.3534,0.0333,0.7200,sideEyeCat
1787849676063,0.4988,0.9771,0.4874,0.0333,0.7200,sideEyeCat
1787849676130,0.4262,0.7688,0.3277,0.0333,0.7200,sideEyeCat
1787849676196,0.3873,1.0000,0.3873,0.0333,0.7200,sideEyeCat
1787849676263,0.3523,0.3098,0.1091,0.0345,0.7200,sideEyeCat
1787849676329,0.2806,0.9799,0.2750,0.0333,0.7200,default
1787849676396,0.1942,0.0000,0.0000,0.0333,0.7200,default
1787849676463,0.1202,0.0000,0.0000,0.0345,0.7200,default
1787849676529,0.1120,0.0000,0.0000,0.0333,0.7200,default
1787849676596,0.0608,0.0000,0.0000,0.0333,0.7200,default
1787849676663,0.0660,0.0000,0.0000,0.0333,0.6959,default
1787849676729,0.1362,0.0000,0.0000,0.0333,0.6959,default
1787849676796,0.1818,0.0000,0.0000,0.0323,0.6371,default
1787849676863,0.2109,0.0000,0.0000,0.0000,0.6371,default
1787849676930,0.1927,0.0000,0.0000,0.0000,0.6095,default
1787849676997,0.2093,0.0000,0.0000,0.0000,0.6095,default
1787849677062,0.2112,0.0000,0.0000,0.0000,0.6095,default
1787849677130,0.2025,0.0000,0.0000,0.0000,0.6095,default
1787849677195,0.1624,0.0000,0.0000,0.0000,0.6095,default
1787849677262,0.1266,0.0000,0.0000,0.0000,0.6095,default
1787849677329,0.1254,0.0000,0.0000,0.0000,0.6095,default
1787849677396,0.1395,0.0000,0.0000,0.0000,0.6095,default
1787849677463,0.1294,0.0000,0.0000,0.0000,0.6095,default
1787849677528,0.0972,0.0000,0.0000,0.0000,0.6095,default
1787849677596,0.0794,0.0000,0.0000,0.0000,0.6095,default
1787849677662,0.0784,0.0000,0.0000,0.0000,0.6095,default
1787849677729,0.0943,0.0000,0.0000,0.0000,0.6095,default
1787849677794,0.1474,0.0000,0.0000,0.0000,0.6095,default
1787849677864,0.2003,0.0000,0.0000,0.0000,0.4874,default
1787849677927,0.2425,0.6403,0.1553,0.0000,0.4874,default
1787849677997,0.2946,0.8798,0.2592,0.0000,0.4874,default
1787849678063,0.3436,0.5739,0.1972,0.0000,0.4874,default
1787849678130,0.3412,0.9542,0.3255,0.0000,0.3873,default
1787849678196,0.3350,0.5452,0.1827,0.0000,0.3255,default
1787849678262,0.3354,0.9942,0.3335,0.0000,0.3335,default
1787849678330,0.3038,0.6347,0.1928,0.0000,0.3335,default
1787849678396,0.2875,0.0000,0.0000,0.0000,0.3335,default
1787849678463,0.2662,0.0000,0.0000,0.0000,0.3335,default
1787849678529,0.2455,0.8196,0.2012,0.0000,0.3335,default
1787849678596,0.2110,1.0000,0.2110,0.0000,0.3335,default
1787849678662,0.1493,0.0000,0.0000,0.0000,0.3335,default
1787849678728,0.1247,0.0000,0.0000,0.0000,0.3335,default
1787849678796,0.0977,0.0000,0.0000,0.0000,0.3335,default
1787849678862,0.1128,0.0000,0.0000,0.0000,0.3335,default
1787849678928,0.1173,0.0000,0.0000,0.0000,0.3335,default
1787849678995,0.1650,0.3673,0.0606,0.0000,0.3335,default
1787849679061,0.1509,0.9966,0.1504,0.0000,0.3335,default
1787849679130,0.1475,0.7205,0.1063,0.0000,0.3335,default
1787849679194,0.1231,0.0000,0.0000,0.0000,0.3335,default
1787849679263,0.1485,0.9996,0.1484,0.0000,0.3335,default
1787849679329,0.1710,0.6693,0.1145,0.0000,0.3335,default
1787849679395,0.1570,1.0000,0.1570,0.0000,0.3335,default
1787849679463,0.1773,0.4099,0.0727,0.0000,0.3335,default
1787849679528,0.1614,0.0000,0.0000,0.0000,0.3335,default
1787849679595,0.1487,0.0000,0.0000,0.0000,0.3335,default
1787849679662,0.1510,0.0000,0.0000,0.0000,0.3335,default
1787849679728,0.1560,0.0000,0.0000,0.0000,0.3335,default
1787849679795,0.1617,0.0000,0.0000,0.0000,0.3335,default
1787849679862,0.1589,0.0000,0.0000,0.0000,0.3335,default
1787849679929,0.1693,0.0000,0.0000,0.0000,0.3335,default
1787849679995,0.1352,0.0000,0.0000,0.0000,0.3335,default
1787849680061,0.1263,0.0000,0.0000,0.0000,0.3335,default
1787849680128,0.1104,0.0000,0.0000,0.0000,0.3335,default
1787849680195,0.1021,0.0000,0.0000,0.0000,0.3335,default
1787849680293,0.1928,0.6610,0.1275,0.0000,0.2110,default
1787849680361,0.1730,0.0000,0.0000,0.0000,0.2110,default
